Date,^FTSE
1987-09-03,2268.10009765625
1987-09-04,2274.89990234375
1987-09-07,2283.60009765625
1987-09-08,2275.0
1987-09-09,2249.10009765625
1987-09-10,2253.199951171875
1987-09-11,2261.199951171875
1987-09-14,2271.800048828125
1987-09-15,2264.5
1987-09-16,2279.800048828125
1987-09-17,2304.5
1987-09-18,2328.300048828125
1987-09-21,2334.800048828125
1987-09-22,2336.199951171875
1987-09-23,2352.39990234375
1987-09-24,2313.39990234375
1987-09-25,2342.60009765625
1987-09-28,2368.10009765625
1987-09-29,2368.300048828125
1987-09-30,2366.0
1987-10-01,2373.800048828125
1987-10-02,2382.199951171875
1987-10-05,2385.800048828125
1987-10-06,2367.89990234375
1987-10-07,2359.800048828125
1987-10-08,2375.5
1987-10-09,2366.5
1987-10-12,2338.5
1987-10-13,2350.199951171875
1987-10-14,2322.89990234375
1987-10-15,2301.89990234375
1987-10-16,2301.89990234375
1987-10-19,2052.300048828125
1987-10-20,1801.5999755859375
1987-10-21,1943.800048828125
1987-10-22,1833.199951171875
1987-10-23,1795.199951171875
1987-10-26,1684.0999755859375
1987-10-27,1703.9000244140625
1987-10-28,1658.4000244140625
1987-10-29,1682.0
1987-10-30,1749.800048828125
1987-11-02,1723.699951171875
1987-11-03,1653.9000244140625
1987-11-04,1608.0999755859375
1987-11-05,1638.800048828125
1987-11-06,1620.800048828125
1987-11-09,1565.199951171875
1987-11-10,1573.5
1987-11-11,1639.300048828125
1987-11-12,1702.5
1987-11-13,1678.300048828125
1987-11-16,1684.800048828125
1987-11-17,1660.0999755859375
1987-11-18,1663.699951171875
1987-11-19,1639.0999755859375
1987-11-20,1633.0
1987-11-23,1657.699951171875
1987-11-24,1689.0999755859375
1987-11-25,1664.0999755859375
1987-11-26,1660.699951171875
1987-11-27,1651.5999755859375
1987-11-30,1579.9000244140625
1987-12-01,1578.5
1987-12-02,1590.300048828125
1987-12-03,1588.4000244140625
1987-12-04,1582.699951171875
1987-12-07,1598.0
1987-12-08,1624.4000244140625
1987-12-09,1639.300048828125
1987-12-10,1619.5999755859375
1987-12-11,1651.5999755859375
1987-12-14,1652.5999755859375
1987-12-15,1670.0
1987-12-16,1689.800048828125
1987-12-17,1706.199951171875
1987-12-18,1717.0
1987-12-21,1750.199951171875
1987-12-22,1747.4000244140625
1987-12-23,1771.4000244140625
1987-12-24,1791.0999755859375
1987-12-29,1730.300048828125
1987-12-30,1759.800048828125
